user_id,username,pp,global_rank
19554046,Shadow_GM,13823.3,312
27166529,minicrewmate,13823.1,313
18687002,tajjj,13816.1,314
14241467,[Crz]Magi,13813.3,315
21591349,Big noob lol,13804.5,316
26103726,LeionTha,13799.6,317
19664675,dumbidot,13797.6,318
6912079,Iseri,13792.5,319
11787461,nate,13790.8,320
9196671,Guilherme9143,13787.2,321
10329095,VanillaLatte,13779.5,322
16467458,SrIvanARGXD,13775.9,323
33834721,TheGreaseBall,13774.3,323
11711666,lifilled,13772.3,324
36461799,LastingDiarrhea,13766.4,325
10906301,flashnias,13765.1,326
32922855,[Crz]ChewYakuwo,13757.2,328
7093698,Limber,13756.9,329
15727775,yoth99,13753.5,330
23259732,saladpoo,13753.5,331
29274258,Gisel,13748.3,333
17184474,imagoodguy100,13745.8,333
18375016,chana,13743.1,334
35237151,NeroWye,13740.2,336
13640336,JassonAHH,13739.9,335
17668607,[BBC]Senzawa,13736.5,336
26853124,osu mania gamer,13734.5,337
31676854,soliBusu,13726.6,338
34756301,Plancktime,13726.0,339
25604245,ERA Nanachi,13724.0,340
34241263,[Crz]Thirteen,13723.1,341
21682880,Pokedogga,13719.3,342
27989088,Hikikomori,13712.1,345
22782597,[NMC] Noraa,13711.6,344
27767846,Oort6,13709.7,345
19088935,Yor Fangirl,13708.3,347
15098503,-Lalito898,13707.9,348
30380812,A_P0stman,13704.5,349
26912305,notaosuplayer32,13703.2,349
9164100,[GB]Oceanus,13696.2,351
16018923,[LS]skob,13695.4,352
26902836,London2,13690.9,351
20648127,-Smugster,13689.1,352
16191180,Shice2566,13689.0,353
20604942,[LS]Shiori,13687.6,354
16492260,parac0sm,13681.2,355
13921965,DarkMew2,13672.0,357
23583879,IAKCHOS,13671.3,358
33611159,Kenza,13670.1,359
23476278,cianskid,13669.1,360
19910862,- Stay -,13667.6,361
28358709,TerabyTe_I,13667.1,362
22975802,Juanormal,13663.2,363
26278347,WhatuLvfor,13655.0,364
34933898,snow_stargazer,13654.8,365
13865224,[GB]Xenotia-,13644.6,366
17036965,PouSlayer,13643.7,367
35458163,MyAngelTeru,13642.3,368
21207706,Leo_Black,13637.3,369
10888689,[LS]Gavin,13635.6,370
24449770,1145810,13635.3,371
24931919,Reiign,13633.9,372
26904807,TriAxosu,13629.3,373
30326221,Faisal727,13626.9,373
16923930,Nachumi-chan,13621.7,376
34303832,CoolCyanSherbet,13617.1,376
13945196,Ineri,13608.0,376
28571440,[Crz]yomogi237,13605.1,377
30603618,insidus,13602.3,379
23402647,[LS]Fluzt,13602.2,380
15555328,Hawkfrost,13600.3,381
17551356,ALC Zumo,13598.3,382
13571027,zuikama,13594.6,383
10186414,Mantinsh,13594.4,384
12127515,artsim,13594.4,384
25682415,[Crz]Yurucawaii,13592.2,385
27898277,NastyLarrygg,13589.6,386
16259193,Momichi,13587.4,387
31701921,Danderes236,13585.7,388
17369785,Loslic,13585.3,390
33886210,nyasunfangirl,13577.3,389
30924602,twon,13576.5,393
30640092,askL330,13574.2,393
13799949,Ena,13574.1,391
21945186,kongkao,13572.4,393
16233256,EteChmess,13568.9,395
16505281,Buschan,13568.4,396
25847548,baconpower008,13564.9,397
31221649,Gbn,13564.5,398
28282580,Theangeloflie,13564.1,399
23392961,Darkhechiser,13561.8,400
7341471,Seiong,13559.6,401
35793432,Kunak_,13559.4,402
16663490,Suzuran__,13558.1,405
23468961,hoon love jain,13550.8,405
16100800,ICECAKE,13547.6,405
23447025,F0rever,13545.3,406
36403260,FlameMining,13545.0,409
36377175,m1k,13541.3,409
19579657,kiwibird01,13538.7,411
16316432,sintezator,13531.1,412
