user_id,elo,username,country
9895650,328.85719470263405,XxNewson1234xX,GB
10622472,328.814787700496,Sprrumnk Lokii,BR
18466725,328.64782930821053,Apol-,PH
16192531,328.61659132051,origamibest,SG
19360101,328.3171511679843,Legend_xD,US
8039789,328.3072942979278,KalkaiFanboy,KR
16140674,328.2170318886644,Micleak,VN
26880074,328.16995303382424,MasterEpicart,TH
9423922,328.06772446128645,Velyria,PH
14055233,327.8210189425343,MisteurFR,FR
14821320,327.7046937907127,Tuyet,VN
12290050,327.62475576989743,Plstica_,MY
22920375,327.3297448215937,maquiito,CL
21114236,326.7926020758873,clonedroid,AR
12243730,326.6209601330663,[Crz]Ha0201,TW
31755778,326.5649707733074,shir0kuma,JP
6117525,326.0822616954574,ruka,AU
16447598,325.7749952080781,Earther06,NO
31743951,325.4284658240461,Jacky_Lover,KR
14113974,325.3259934604603,TheMysteryL,PH
15269436,325.0518419599794,Lemoncoin,TH
34454156,324.9901627777043,MightyTech,ID
27834381,324.97418118089433,P45ta,ID
27078040,324.479137445861,whenheckerissus,US
28429995,324.13319296902483,zlzonnrg,KR
6946894,324.0790623488759,SweetDevil xD,RU
13921965,323.80504024636195,DarkMew2,FR
23528661,323.32032702997526,henryalexbr,PE
22928573,323.1095715112059,Danielpiue,US
8710290,322.93018192103136,[Crz]SuJaK,KR
19862784,322.80071193778207,Chicken Sammy,US
19133938,322.5651612341161,Eeriee,US
12572401,322.5407518891806,kzorii,MY
11341964,322.5347320773334,MowseChow,PH
12606730,322.5132974429323,YunoMaya,US
35458163,322.2120604484877,MyAngelTeru,CN
24511860,321.9632129136527,_wxzy,HU
8222416,321.9030008900812,Water is good,AU
24153103,321.74924972811846,Steve28,KR
31709045,321.12981710501964,Bl1x3r,NZ
2656302,320.9750152683271,Asrielly,VN
8553078,320.8961014569029,Guldakh,ES
13226626,320.7690397865521,gxrl,AR
35494263,320.71819665463937,LOKSHOON_OSU,MY
8837858,320.4798714058243,N2Oe-,CN
25865730,320.4644441198344,1byte,ID
17750113,319.90891757727906,k1dsbtw,US
26516289,319.90213469191457,ibeagoodbed,TW
9224686,319.7833872433112,Ekoplon5,CN
16277321,319.66955599255726,nyasun,CN
14174524,319.56504123474525,Silicosis 4,PH
13402917,318.863600598484,My Angel Plana,CN
4691146,318.6746469130566,LuxKooky,ID
33697603,318.5429587265051,Llamado,PH
17721427,318.1653651616549,Wang Jian,CN
21591349,317.9339560977043,Big noob lol,SG
17699745,317.87875163251107,_Kiruru,TH
9332478,317.23355801038167,Slick6969,CA
20648127,317.1018566171471,-Smugster,US
16846311,316.77146455929625,raphies,SG
22660023,316.7308182578257,akenyii-,PE
23501956,316.6693748008008,f4fgoodgirlasmr,US
14039549,316.3899102517823,Bei,RO
18043326,316.25436492718177,Joki_,NZ
34545394,316.2378304402029,shenmeng,CN
8321730,315.9397070310516,[Zekken],VN
15763622,315.8326798878186,Koishi Komeijie,SG
13005943,315.81666595579713,Majke1,PL
12703319,315.796567127226,WLYMinato,CN
23833099,315.6940263651839,kilotek,MX
5156656,315.2788901733092,Yonk_,GB
15903870,314.871471870842,pulip,KR
6949941,314.7985289924906,[Crz]Flandre,CN
26103726,314.7821266967214,LeionTha,CN
18483296,314.310976520171,ketiph,LT
19686164,313.940495184502,Seroni,MX
6968857,313.80933281239345,[NaNachi],KR
23989702,313.80142423548403,[Lmc]Gandalf,ES
12127515,313.57192520864515,artsim,KR
16492260,313.5379558607934,parac0sm,PH
5145688,313.3589531617999,yeoa-,KR
36184065,313.27780016217366,Lirileh,MX
8062229,313.14344004752496,ggthankyou,KR
11958940,313.01851082585875,J1002,PH
29024004,312.9770247448099,Meatloaf,US
24925578,312.1565718574309,F2P,SG
