player_id,elo_score,rank_4k,final_rank,country,username,final_rank_percentile
31064667,-224.57003460658748,4928,5576.0,BY,babah79,0.36051846753842626
27803155,-52.37751349801075,5462,5577.0,TH,Shironiz,0.36040376233080984
26661169,-220.36260626741552,4943,5578.0,PL,tobber747,0.36028905712319337
26320291,-163.67978346015357,5119,5579.0,SG,huatman,0.36017435191557695
18080775,-5.376750510555286,5611,5580.0,HK,3292829622,0.36005964670796053
9421382,48.81730611739437,5779,5581.0,CN,muyouA,0.3599449415003441
33746310,-55.82706141956101,5455,5582.0,US,bumps,0.3598302362927277
19571610,-22.44290942172026,5562,5583.0,CN,Akizz,0.3597155310851113
35709182,-73.78681168498363,5403,5584.0,RU,artem2009yu,0.3596008258774948
27170949,-101.41363810221694,5318,5585.0,MP,replcu,0.3594861206698784
16184683,-94.50513472789642,5340,5586.0,VN,Dunghun111,0.359371415462262
12129452,-17.69546910312392,5580,5587.0,VN,CZgm,0.35925671025464556
24893505,-0.1670531422637774,8436,5588.0,DO,alex10500,0.35914200504702914
24843035,-134.64752542677735,5218,5589.0,AL,Shattered_E,0.35902729983941273
29946876,-225.4729907895858,4937,5590.0,VN,[TCD] Jri,0.3589125946317963
12543415,34.8294710747862,5744,5591.0,ID,Wiikpvp,0.35879788942417984
25843976,11.558028512755063,8530,5592.0,KR,Ryun_,0.3586831842165634
32967245,-21.590261612224968,5571,5593.0,US,Lilmcmusic11,0.358568479008947
23618130,162.08580521579938,6141,5594.0,BR,Samkoopa,0.3584537738013306
16393578,-241.89521804292704,4890,5595.0,AR,Bruno543,0.35833906859371417
13602611,156.24312659378128,6126,5596.0,RU,picleric,0.35822436338609775
36647676,-60.92611963168367,5453,5597.0,US,caronmarzz,0.3581096581784813
5144541,126.78599209949712,6035,5598.0,CN,_yukari,0.35799495297086487
16493383,-373.609912212013,4690,5599.0,IT,TKM_RaulRO,0.35788024776324845
25468950,-136.4298538372532,5223,5600.0,CN,Makka_Bakka,0.35776554255563203
20304751,-73.87041135428474,5417,5601.0,US,DND_j0nFTW,0.3576508373480156
8513551,-31.52997113579957,5549,5602.0,KR,Envy you,0.3575361321403992
4585260,87.68089655855796,9131,5603.0,AR,aluuu,0.3574214269327827
19587411,21.496854706973096,8620,5604.0,US,Akiri-,0.3573067217251663
20778008,-113.13539468660974,5297,5605.0,RU,Ratori,0.3571920165175499
22040966,-214.7884325017518,4985,5606.0,LT,Calamits,0.3570773113099335
